state,gender,year,name,number,row_num
ID,M,1910,John,34,1
ID,M,1910,William,29,2
ID,M,1910,James,28,3
NY,F,1910,Mary,1923,1
NY,F,1910,Helen,1290,2
NY,F,1910,Rose,990,3
GA,F,1910,Mary,841,1
GA,F,1910,Annie,553,2
GA,F,1910,Mattie,320,3
GA,M,1910,James,673,1
GA,M,1910,Willie,561,2
GA,M,1910,John,557,3
IA,M,1910,John,124,1
IA,M,1910,William,94,2
IA,M,1910,Harold,80,3
AZ,F,1910,Mary,74,1
AZ,F,1910,Maria,29,2
AZ,F,1910,Alice,27,3
WY,F,1910,Mary,27,1
WY,F,1910,Margaret,22,2
WY,F,1910,Helen,13,3
LA,M,1910,John,243,1
LA,M,1910,James,225,2
LA,M,1910,Joseph,196,3
IL,F,1910,Mary,1076,1
IL,F,1910,Helen,917,2
IL,F,1910,Dorothy,553,3
ND,F,1910,Mary,85,1
ND,F,1910,Alice,61,2
ND,F,1910,Margaret,61,3
NV,F,1910,Mary,10,1
NV,F,1910,Mildred,6,2
NV,F,1910,Emma,5,3
HI,M,1910,John,22,1
HI,M,1910,Joseph,18,2
HI,M,1910,George,17,3
PA,M,1910,John,1326,1
PA,M,1910,Joseph,831,2
PA,M,1910,William,793,3
NE,M,1910,John,93,1
NE,M,1910,William,63,2
NE,M,1910,Robert,57,3
VA,M,1910,James,461,1
VA,M,1910,William,381,2
VA,M,1910,John,342,3
CT,F,1910,Mary,304,1
CT,F,1910,Helen,170,2
CT,F,1910,Anna,131,3
TX,M,1910,John,411,1
TX,M,1910,James,403,2
TX,M,1910,William,397,3
FL,F,1910,Mary,239,1
FL,F,1910,Annie,101,2
FL,F,1910,Ethel,82,3
TX,F,1910,Mary,895,1
TX,F,1910,Ruby,314,2
TX,F,1910,Annie,277,3
WA,F,1910,Helen,156,1
WA,F,1910,Dorothy,122,2
WA,F,1910,Mary,112,3
CO,M,1910,John,99,1
CO,M,1910,James,66,2
CO,M,1910,Charles,51,3
VT,M,1910,George,16,1
VT,M,1910,Charles,15,2
VT,M,1910,Edward,15,3
NH,M,1910,John,23,1
NH,M,1910,George,22,2
NH,M,1910,Joseph,22,3
MS,M,1910,James,465,1
MS,M,1910,John,385,2
MS,M,1910,Willie,377,3
ND,M,1910,John,56,1
ND,M,1910,William,41,2
ND,M,1910,George,39,3
NM,M,1910,Jose,54,1
NM,M,1910,Joe,51,2
NM,M,1910,John,50,3
NY,M,1910,John,1125,1
NY,M,1910,Joseph,917,2
NY,M,1910,William,768,3
RI,M,1910,John,66,1
RI,M,1910,Joseph,56,2
RI,M,1910,William,37,3
NE,F,1910,Mary,161,1
NE,F,1910,Helen,134,2
NE,F,1910,Ruth,114,3
NM,F,1910,Mary,98,1
NM,F,1910,Maria,40,2
NM,F,1910,Margaret,38,3
MS,F,1910,Mary,762,1
MS,F,1910,Annie,354,2
MS,F,1910,Willie,208,3
MN,F,1910,Mary,216,1
MN,F,1910,Helen,201,2
MN,F,1910,Margaret,184,3
UT,F,1910,Mary,57,1
UT,F,1910,Dorothy,38,2
UT,F,1910,Helen,36,3
MI,F,1910,Helen,368,1
MI,F,1910,Mary,349,2
MI,F,1910,Margaret,272,3
OK,F,1910,Mary,326,1
OK,F,1910,Ruth,165,2
OK,F,1910,Ruby,159,3
WV,F,1910,Mary,380,1
WV,F,1910,Virginia,144,2
WV,F,1910,Helen,124,3
KS,M,1910,John,129,1
KS,M,1910,William,104,2
KS,M,1910,Charles,76,3
AR,F,1910,Mary,408,1
AR,F,1910,Ruby,148,2
AR,F,1910,Ruth,140,3
DC,F,1910,Mary,80,1
DC,F,1910,Margaret,72,2
DC,F,1910,Helen,52,3
OH,M,1910,John,431,1
OH,M,1910,William,321,2
OH,M,1910,James,265,3
LA,F,1910,Mary,586,1
LA,F,1910,Annie,169,2
LA,F,1910,Louise,157,3
MI,M,1910,John,190,1
MI,M,1910,William,154,2
MI,M,1910,George,134,3
MO,M,1910,William,314,1
MO,M,1910,John,288,2
MO,M,1910,James,243,3
DE,F,1910,Mary,59,1
DE,F,1910,Margaret,40,2
DE,F,1910,Helen,37,3
MO,F,1910,Mary,611,1
MO,F,1910,Helen,313,2
MO,F,1910,Dorothy,270,3
CA,F,1910,Mary,295,1
CA,F,1910,Helen,239,2
CA,F,1910,Dorothy,220,3
RI,F,1910,Mary,141,1
RI,F,1910,Helen,63,2
RI,F,1910,Margaret,55,3
SC,F,1910,Mary,602,1
SC,F,1910,Annie,305,2
SC,F,1910,Louise,173,3
SC,M,1910,James,556,1
SC,M,1910,John,390,2
SC,M,1910,William,281,3
IA,F,1910,Helen,249,1
IA,F,1910,Mary,239,2
IA,F,1910,Dorothy,185,3
SD,M,1910,John,54,1
SD,M,1910,William,34,2
SD,M,1910,George,28,3
OH,F,1910,Mary,1099,1
OH,F,1910,Helen,698,2
OH,F,1910,Dorothy,487,3
TN,F,1910,Mary,735,1
TN,F,1910,Ruby,168,2
TN,F,1910,Annie,163,3
UT,M,1910,John,39,1
UT,M,1910,William,32,2
UT,M,1910,James,26,3
MT,F,1910,Mary,81,1
MT,F,1910,Helen,58,2
MT,F,1910,Margaret,51,3
PA,F,1910,Mary,2913,1
